feature,direction,total_top3_hits,possible_top3_hits,top3_capture_rate,races_with_3_of_3,races_with_2plus_of_3,races_tested,winner_hits,winner_races_tested,winner_hit_rate,winner_rank_total,mean_winner_rank,winner_top3_hits,winner_top3_rate
speed_rating_rank,ASC,26,81,0.32098765432098764,0,6,27,1,27,0.037037037037037035,164,6.074074074074074,7,0.25925925925925924
wet_rating,DESC,26,81,0.32098765432098764,0,6,27,0,27,0.0,183,6.777777777777778,4,0.14814814814814814
wet_rating_rank,ASC,26,81,0.32098765432098764,0,6,27,0,27,0.0,183,6.777777777777778,4,0.14814814814814814
historical_market_overperformance_avg_3,DESC,26,81,0.32098765432098764,0,5,27,4,27,0.14814814814814814,160,5.925925925925926,7,0.25925925925925924
jockey_history_top3_excess,DESC,26,81,0.32098765432098764,0,5,27,3,27,0.1111111111111111,172,6.37037037037037,7,0.25925925925925924
market_implied_prob_change_open_to_fluc2,DESC,26,81,0.32098765432098764,0,5,27,0,27,0.0,201,7.444444444444445,3,0.1111111111111111
recent_margin_avg_6,ASC,26,81,0.32098765432098764,0,5,27,0,27,0.0,191,7.074074074074074,4,0.14814814814814814
recent_weighted_win_rate,DESC,26,81,0.32098765432098764,0,5,27,3,27,0.1111111111111111,189,7.0,5,0.18518518518518517
recent_weighted_win_rate_rank,ASC,26,81,0.32098765432098764,0,5,27,3,27,0.1111111111111111,189,7.0,5,0.18518518518518517
recent_wins,DESC,26,81,0.32098765432098764,0,3,27,1,27,0.037037037037037035,202,7.481481481481482,3,0.1111111111111111
recent_4_barrier,ASC,24,75,0.32,0,5,25,3,25,0.12,151,6.04,8,0.32
recent_last600_slope_3,DESC,21,66,0.3181818181818182,0,8,22,3,22,0.13636363636363635,144,6.545454545454546,6,0.2727272727272727
recent_last600_slope_6,DESC,21,66,0.3181818181818182,0,7,22,3,22,0.13636363636363635,142,6.454545454545454,5,0.22727272727272727
class_adjusted_finish_percentile_weighted_6,DESC,21,66,0.3181818181818182,0,3,22,2,22,0.09090909090909091,150,6.818181818181818,4,0.18181818181818182
sectional_closing_speed_ratio_weighted_3,DESC,21,66,0.3181818181818182,0,2,22,2,22,0.09090909090909091,132,6.0,9,0.4090909090909091
winningPartnership,ASC,16,51,0.3137254901960784,0,2,17,3,17,0.17647058823529413,104,6.117647058823529,5,0.29411764705882354
recentPodium,DESC,15,48,0.3125,0,3,16,1,16,0.0625,121,7.5625,2,0.125
historical_step_down_finish_percentile,DESC,25,81,0.30864197530864196,1,6,27,4,27,0.14814814814814814,176,6.518518518518518,7,0.25925925925925924
recent_finish_percentile_last_minus_avg3,DESC,25,81,0.30864197530864196,1,5,27,3,27,0.1111111111111111,167,6.185185185185185,9,0.3333333333333333
historical_market_overperformance_best_3,DESC,25,81,0.30864197530864196,1,4,27,3,27,0.1111111111111111,161,5.962962962962963,9,0.3333333333333333
recent_finish_percentile_avg3_minus_avg6,DESC,25,81,0.30864197530864196,1,4,27,4,27,0.14814814814814814,163,6.037037037037037,8,0.2962962962962963
recent_margin_quality_slope_3,ASC,25,81,0.30864197530864196,1,3,27,2,27,0.07407407407407407,174,6.444444444444445,9,0.3333333333333333
career_place_rate_rank,ASC,25,81,0.30864197530864196,0,6,27,0,27,0.0,196,7.2592592592592595,4,0.14814814814814814
career_win_rate_rank,ASC,25,81,0.30864197530864196,0,6,27,0,27,0.0,217,8.037037037037036,4,0.14814814814814814
