member,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1,91,17,91-17,Leaf,,,,,-0.00447883038,396.300873,
1,91,18,91-18,Leaf,,,,,0.00519875623,66.340538,
1,91,19,91-19,Leaf,,,,,-0.00139137299,5625.82324,
1,91,20,91-20,Leaf,,,,,0.000570396835,5525.85791,
1,91,21,91-21,Leaf,,,,,-0.00429909537,1463.84802,
1,91,22,91-22,Leaf,,,,,0.00248496095,262.476318,
1,91,23,91-23,Leaf,,,,,-0.000229466124,1465.00476,
1,91,24,91-24,Leaf,,,,,0.00438010367,270.97995,
1,91,25,91-25,Leaf,,,,,-0.00966483261,114.755836,
1,91,26,91-26,Leaf,,,,,-0.00165893219,1940.36975,
1,91,27,91-27,Leaf,,,,,0.00400614087,2049.06689,
1,91,28,91-28,Leaf,,,,,0.00158189295,3837.09937,
1,91,29,91-29,Leaf,,,,,-8.44745882e-05,4251.79395,
1,91,30,91-30,Leaf,,,,,0.00387318549,652.764587,
1,92,0,92-0,recent_weighted_avg_margin,5.22812605,92-1,92-2,92-2,43.7528152,28422.4688,
1,92,1,92-1,good_starts,9.0,92-3,92-4,92-4,29.4985008,23916.0664,
1,92,2,92-2,jockey_history_top3_excess,0.00929614715,92-5,92-6,92-5,21.0970879,4506.40234,
1,92,3,92-3,prize_money_rank,3.0,92-7,92-8,92-8,20.9975891,15346.8428,
1,92,4,92-4,recent_similar_distance_speed_rank,11.0,92-9,92-10,92-10,13.9832525,8569.22266,
1,92,5,92-5,recent_margin_quality_weighted_3_minus_race_mean,-0.103927612,92-11,92-12,92-11,15.6562805,2269.15283,
1,92,6,92-6,historical_market_overperformance_slope_3,0.267424256,92-13,92-14,92-13,10.8638,2237.24976,
1,92,7,92-7,recent_3_margin,9.30000019,92-15,92-16,92-16,15.2584305,2953.27808,
1,92,8,92-8,recent_last600_best_3,34.1599998,92-17,92-18,92-18,15.4271212,12393.5645,
1,92,9,92-9,jockey_history_starts,16.0,92-19,92-20,92-19,11.3697672,7923.36279,
1,92,10,92-10,recent_weighted_win_rate_rank,3.0,92-21,92-22,92-22,13.1010094,645.860413,
1,92,11,92-11,jockey_trainer_history_smoothed_top3_rate_gap_to_best,0.0304487348,92-23,92-24,92-24,8.78598785,1073.17834,
1,92,12,92-12,jockey_history_top3_excess,0.00318324356,92-25,92-26,92-25,9.31113052,1195.97449,
