feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
track_starts,0.9989267876553062,0.00035156064392397973,0.0004971559910294521,-0.0010456464918996433,0.0024442901855995514,8,8,12,0.022104810884619092,0.022104810884619092,False
recent_6_track_status_value,0.4052064557850273,0.00025016136771013886,3.731272413626252e-05,-0.0004657784373798268,0.0015661077752027186,6,11,7,-0.006121623880092711,0.006121623880092711,False
recent_5_barrier,0.8162055064048762,0.0002336617238015426,-0.0001306969990280682,-0.0026206964884895045,0.0032646949003185544,5,5,10,-0.0073812105890741705,0.0077508547878408635,False
second_up_starts,0.9989267876553062,0.00016963953242934982,0.0004586238090328876,-0.0022314860216048338,0.001831081746646368,8,8,10,-0.0013188707281911775,0.004534496622220093,False
sectional_last600_best_6,0.8284373753078605,0.00016238694016463642,-4.486778881973574e-05,-0.0023725171253303756,0.0026296052909410284,6,6,12,-0.02946376991289061,0.02946376991289061,False
recent_1_barrier,0.9401477730843848,0.00015047527169064398,4.119005571773249e-05,-0.0016467376616881024,0.0029584951124242975,6,6,10,-0.014630784862712092,0.015502322425158198,False
recent_4_track_status_value,0.4428927200429285,0.0001308965554148537,0.0,-0.0014818447177118443,0.0027010009665092705,3,8,5,0.002511183612621029,0.0036054898590511027,False
recent_same_track_runs,1.0,0.00013032147885368625,0.00021240487135865127,-0.0017040884467141026,0.0018815596990974237,6,6,12,0.04805744157368302,0.04805744157368302,False
heavy_starts,0.9989267876553062,0.0001239013593656857,0.0002575961275780303,-0.002017884442774176,0.002751634603538111,7,7,12,-0.018660271698771488,0.018660271698771488,False
recent_1_track_status_value,0.46146754908570564,9.345069646088389e-05,0.0,-0.001643302866950913,0.004080326488253183,2,7,6,0.0032497734093237256,0.003905931206214117,False
recent_2_weight_kg,0.8079913042281814,6.829047460508535e-05,0.00033079268941765827,-0.0019931548701708213,0.0022958236818507727,8,8,12,0.034390872456304046,0.034390872456304046,False
sectional_closing_speed_ratio_weighted_6,0.8284373753078605,5.981749194122754e-05,0.00041845041532695415,-0.002319761963512912,0.0016530390440977483,7,7,11,0.018042845066859683,0.018739112771212995,False
recent_3_total_runners,0.9240358287813536,5.50467619446123e-05,0.0005997214094241587,-0.0022297647476399174,0.0016438499591713285,7,7,12,0.027833835460551463,0.027833835460551463,False
heavy_wins,0.9989267876553062,4.6340889482234436e-05,0.0003535356925257749,-0.001773532240943232,0.0013447119489436998,7,7,12,-0.029976762080568375,0.029976762080568375,False
horse_jockey_starts,0.9989267876553062,4.075136525606241e-05,0.00020035213446789601,-0.0021411871208152355,0.002462528467052194,7,7,12,0.08174868823303975,0.08174868823303975,False
large_weight_drop_flag,1.0,3.1941069145613454e-05,3.808815614958494e-05,-0.0005123083369265036,0.0005991081127870723,7,8,12,-0.03909741576240942,0.03909741576240942,False
recent_6_margin,0.8161642290070034,3.145679049905888e-05,-0.0002559072750503155,-0.0020578890813175432,0.002753453436879827,5,5,12,-0.07605302390791303,0.07605302390791303,False
recent_2_barrier,0.9159454587982774,2.7518845640284173e-05,0.0001452990014772504,-0.0019324969444111106,0.0023732086540909636,6,6,12,-0.010575813512265773,0.010575813512265773,False
recent_6_total_runners,0.8161642290070034,2.3149421945626674e-05,0.0004008124617284614,-0.0022565142038883934,0.0021671603974056097,7,7,9,-0.005776000265004214,0.007874136237560102,False
