feature,fold,validation_start,validation_end,training_races,validation_races,coverage,alpha,market_composite,adjusted_composite,composite_delta,top3_recall,ndcg3,pairwise_ranking_accuracy
draw_number,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,1.0,-0.06263380514695817,0.6091878200109806,0.6108980100192899,0.001710190008309298,0.5593333333333333,0.5810169192327284,0.7439084541777646
draw_number,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,1.0,-0.06396407008607445,0.6168040043789969,0.6164997508640764,-0.0003042535149204717,0.558,0.5869723959175026,0.7630266075388027
draw_number,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,1.0,-0.06396506576737049,0.6051414175132467,0.6054394037956913,0.0002979862824445956,0.552,0.5742680318494315,0.7434895833333334
draw_number,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,1.0,-0.06501849238856984,0.6023206162626358,0.6049505338074272,0.0026299175447914713,0.552,0.5832858430402333,0.7325162921894758
draw_number,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,1.0,-0.06160484776088296,0.6080218701209745,0.6069327706640665,-0.0010890994569080492,0.552,0.5767827258487541,0.7469483568075117
draw_number,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,1.0,-0.0631838972517788,0.619182764327878,0.6166577439583016,-0.0025250203695763584,0.564,0.587542298081821,0.7510886777513855
weight_kg,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,1.0,0.07252591012027317,0.5991614550260691,0.5991499385344532,-1.1516491615903846e-05,0.5393333333333333,0.567564559739434,0.7503685277317118
weight_kg,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,1.0,0.06288226268278173,0.6118636575634334,0.6113301682331537,-0.0005334893302797461,0.5533333333333333,0.5829501342598891,0.7557038720060589
weight_kg,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,1.0,0.06314517742464425,0.6091878200109806,0.6092124821398156,2.4662128835006847e-05,0.5573333333333333,0.5783241319725009,0.7438591299200947
weight_kg,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,1.0,0.06051453357638428,0.6168040043789969,0.6164533631037672,-0.00035064127522965727,0.558,0.586648263945002,0.7631651884700665
weight_kg,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,1.0,0.06548169867786817,0.6051414175132467,0.6050367858168181,-0.00010463169642860315,0.552,0.5729830807672721,0.7431640625
weight_kg,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,1.0,0.06676900884687166,0.6023206162626358,0.6022598245108607,-6.079175177509111e-05,0.5486666666666666,0.5798219067390951,0.7318840579710145
weight_kg,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,1.0,0.0646515268613143,0.6080218701209745,0.6080218701209745,0.0,0.5533333333333333,0.5777212833007996,0.7476995305164319
weight_kg,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,1.0,0.06889185041405783,0.619182764327878,0.6190837926641476,-9.897166373040722e-05,0.5673333333333334,0.5904808555338665,0.751187648456057
age,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,1.0,-0.086694433392097,0.5991614550260691,0.6002026642796678,0.0010412092535987405,0.5406666666666666,0.5682796086572747,0.7511977151280634
age,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,1.0,-0.10144670284045015,0.6118636575634334,0.6116532093260091,-0.00021044823742433216,0.5533333333333333,0.5839109533695478,0.7560352172678216
age,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,1.0,-0.10143165742377772,0.6091878200109806,0.6073356709198217,-0.0018521490911589389,0.5546666666666666,0.5766927872602278,0.7433165630857256
age,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,1.0,-0.0982310644262545,0.6168040043789969,0.6145992863235075,-0.0022047180554893853,0.556,0.5845253788490928,0.7618717664449371
age,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,1.0,-0.09393920073272527,0.6051414175132467,0.6052122342185617,7.081670531505768e-05,0.552,0.5734523594932949,0.7433965773809523
age,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,1.0,-0.08995264547942565,0.6023206162626358,0.6012798146019648,-0.001040801660670998,0.5473333333333333,0.5790062343829588,0.7314463573582336
age,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,1.0,-0.08638767885995649,0.6080218701209745,0.609198643406186,0.0011767732852114854,0.5546666666666666,0.5791513811364812,0.7483098591549295
age,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,1.0,-0.08819731413652493,0.619182764327878,0.6209414574083607,0.0017586930804827094,0.57,0.5916874448353431,0.7520783847980997
speed_rating,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9907263446112357,0.09430109168821113,0.5991614550260691,0.5967349931368171,-0.0024264618892519962,0.536,0.5645253788490927,0.7504145936981758
speed_rating,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9907263446112357,0.0866401446856401,0.6118636575634334,0.6112616719299193,-0.0006019856335141016,0.5533333333333333,0.5825814789721625,0.7557985420808483
speed_rating,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9907263446112357,0.09208510150976064,0.6091878200109806,0.6076449040375322,-0.0015429159734483555,0.5553333333333333,0.5773855745204554,0.7425273749630068
speed_rating,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9907263446112357,0.08527793542653116,0.6168040043789969,0.6160050219412252,-0.0007989824377716559,0.5573333333333333,0.5852181661093204,0.7641352549889135
