phase,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,objective_value,a1_weight,top3_weight
global_simplex,0.23545802856147685,0.5841170323928945,0.46066596915604374,3.614420062695925,0.23545802856147685,0.0,1.0
global_simplex,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.01,0.99
global_simplex,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.02,0.98
global_simplex,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.03,0.97
global_simplex,0.23719958202716823,0.5837687216997561,0.4615994052775676,3.613723441309648,0.23719958202716823,0.04,0.96
global_simplex,0.23754789272030652,0.5834204110066179,0.46165567278420083,3.614420062695925,0.23754789272030652,0.05,0.95
global_simplex,0.23789620341344478,0.5834204110066179,0.46179346409231603,3.613723441309648,0.23789620341344478,0.06,0.94
global_simplex,0.23824451410658307,0.5830721003134797,0.4616125573022136,3.6161616161616164,0.23824451410658307,0.07,0.93
global_simplex,0.23789620341344478,0.5830721003134797,0.461465492787333,3.6161616161616164,0.23789620341344478,0.08,0.92
global_simplex,0.23789620341344478,0.5823754789272031,0.46139111865339777,3.6175548589341693,0.23789620341344478,0.09,0.91
global_simplex,0.23894113549285964,0.5834204110066179,0.462073227094127,3.61337513061651,0.23894113549285964,0.1,0.9
global_simplex,0.23859282479972135,0.5844653430860327,0.46219018510032217,3.6126785092302334,0.23859282479972135,0.11,0.89
global_simplex,0.23685127133402994,0.5841170323928945,0.4612727948934859,3.615116684082201,0.23685127133402994,0.12,0.88
global_simplex,0.23650296064089169,0.5855102751654476,0.46107637379842287,3.6179031696273074,0.23650296064089169,0.13,0.87
global_simplex,0.2358063392546151,0.584813653779171,0.4606456848619867,3.6203413444792756,0.2358063392546151,0.14,0.86
global_simplex,0.23719958202716823,0.584813653779171,0.4612524477728252,3.6210379658655523,0.23719958202716823,0.15,0.85
global_simplex,0.23650296064089169,0.5830721003134797,0.46084652508372587,3.623127830024382,0.23650296064089169,0.16,0.84
global_simplex,0.23859282479972135,0.5820271682340648,0.4615068413918998,3.6255660048763496,0.23859282479972135,0.17,0.83
global_simplex,0.23894113549285964,0.5823754789272031,0.4615438965229989,3.628700801114594,0.23894113549285964,0.18,0.82
global_simplex,0.23894113549285964,0.5816788575409265,0.4615861952591325,3.631138975966562,0.23894113549285964,0.19,0.81
global_simplex,0.23754789272030652,0.58098223615465,0.46092075085021883,3.6342737722048066,0.23754789272030652,0.2,0.8
global_simplex,0.23650296064089169,0.5813305468477882,0.4605111967834024,3.6363636363636362,0.23650296064089169,0.21,0.79
global_simplex,0.234413096482062,0.5816788575409265,0.45970908952883943,3.63566701497736,0.234413096482062,0.22,0.78
global_simplex,0.234413096482062,0.5834204110066179,0.45978486711245403,3.637060257749913,0.234413096482062,0.23,0.77
global_simplex,0.234413096482062,0.58098223615465,0.459402705445026,3.6426332288401255,0.234413096482062,0.24,0.76
global_simplex,0.23824451410658307,0.5820271682340648,0.461548029063704,3.637060257749913,0.23824451410658307,0.25,0.75
global_simplex,0.23719958202716823,0.5820271682340648,0.46083939909697585,3.6377568791361896,0.23719958202716823,0.26,0.74
global_simplex,0.23719958202716823,0.5827237896203413,0.4607571803365962,3.640543364681296,0.23719958202716823,0.27,0.73
global_simplex,0.23754789272030652,0.5827237896203413,0.4603628177426515,3.6482061999303377,0.23754789272030652,0.28,0.72
global_simplex,0.23754789272030652,0.5806339254615117,0.4602517113097059,3.650644374782306,0.23754789272030652,0.29,0.71
global_simplex,0.2361546499477534,0.5813305468477882,0.45965900899286566,3.650644374782306,0.2361546499477534,0.3,0.7
global_simplex,0.23685127133402994,0.5813305468477882,0.45992411213153217,3.6527342389411355,0.23685127133402994,0.31,0.69
global_simplex,0.2361546499477534,0.58098223615465,0.45954138115841453,3.6537791710205503,0.2361546499477534,0.32,0.68
global_simplex,0.2361546499477534,0.58098223615465,0.45943744082458915,3.6569139672587947,0.2361546499477534,0.33,0.67
global_simplex,0.23545802856147685,0.5754092650644375,0.4580771945845099,3.673284569836294,0.23545802856147685,0.34,0.66
global_simplex,0.23476140717520028,0.576105886450714,0.45772057821430934,3.67816091954023,0.23476140717520028,0.35,0.65
global_simplex,0.23371647509578544,0.576105886450714,0.45704677545064243,3.6837338906304424,0.23371647509578544,0.36,0.64
global_simplex,0.23197492163009403,0.5743643329850227,0.45563984904371607,3.6934865900383143,0.23197492163009403,0.37,0.63
global_simplex,0.2309299895506792,0.5757575757575758,0.4547370181774579,3.7011494252873565,0.2309299895506792,0.38,0.62
global_simplex,0.23058167885754094,0.5736677115987461,0.454526100568421,3.7049808429118776,0.23058167885754094,0.39,0.61
global_simplex,0.2309299895506792,0.5733194009056078,0.4543175452396986,3.70846394984326,0.2309299895506792,0.4,0.6
global_simplex,0.22953674677812608,0.5733194009056078,0.45353663181510684,3.7126436781609193,0.22953674677812608,0.41,0.59
global_simplex,0.2277951933124347,0.5708812260536399,0.45207660822864676,3.7234413096482064,0.2277951933124347,0.42,0.58
global_simplex,0.22884012539184953,0.5712295367467781,0.45243964934403896,3.7262277951933123,0.22884012539184953,0.43,0.57
global_simplex,0.22918843608498782,0.5705329153605015,0.45234107826845654,3.732149076976663,0.22918843608498782,0.44,0.56
global_simplex,0.22953674677812608,0.569836293974225,0.4517520034630809,3.74085684430512,0.22953674677812608,0.45,0.55
global_simplex,0.22918843608498782,0.5701846046673633,0.4514382474021985,3.7488679902473008,0.22918843608498782,0.46,0.54
global_simplex,0.22849181469871124,0.5684430512016719,0.450637425676612,3.757575757575758,0.22849181469871124,0.47,0.53
global_simplex,0.22884012539184953,0.567398119122257,0.4502573459861874,3.76314872866597,0.22884012539184953,0.48,0.52
global_simplex,0.22849181469871124,0.5667014977359804,0.44971747697714376,3.766631835597353,0.22849181469871124,0.49,0.51
global_simplex,0.22570532915360503,0.5649599442702891,0.44779419997549685,3.776036224312086,0.22570532915360503,0.5,0.5
global_simplex,0.2243120863810519,0.5614768373389063,0.4459243043229472,3.794148380355277,0.2243120863810519,0.51,0.49
global_simplex,0.2243120863810519,0.5625217694183211,0.44570685274708377,3.799373040752351,0.2243120863810519,0.52,0.48
global_simplex,0.22361546499477533,0.5611285266457681,0.44520608701643277,3.80564263322884,0.22361546499477533,0.53,0.47
global_simplex,0.2225705329153605,0.5604319052594915,0.44402079643720277,3.8150470219435735,0.2225705329153605,0.54,0.46
global_simplex,0.2222222222222222,0.5597352838732149,0.44351039310548296,3.825496342737722,0.2222222222222222,0.55,0.45
global_simplex,0.22187391152908395,0.5597352838732149,0.4430700163066944,3.8321142459073494,0.22187391152908395,0.56,0.44
global_simplex,0.22187391152908395,0.5576454197143852,0.44253468337846724,3.842563566701498,0.22187391152908395,0.57,0.43
global_simplex,0.22048066875653083,0.554858934169279,0.44064410520784697,3.861372344130965,0.22048066875653083,0.58,0.42
global_simplex,0.22013235806339254,0.554858934169279,0.44026620318417703,3.8659003831417627,0.22013235806339254,0.59,0.41
global_simplex,0.22117729014280738,0.5538140020898642,0.440818880121389,3.8686868686868685,0.22117729014280738,0.6,0.4
global_simplex,0.22048066875653083,0.5506792058516197,0.43951604966495345,3.8850574712643677,0.22048066875653083,0.61,0.39
global_simplex,0.22082897944966912,0.5468477882270986,0.43888115541720657,3.8993382096830373,0.22082897944966912,0.62,0.38
global_simplex,0.21873911529083942,0.5454545454545454,0.43738300478112496,3.913967258794845,0.21873911529083942,0.63,0.37
global_simplex,0.21839080459770116,0.544757924068269,0.4367448623979459,3.9247648902821317,0.21839080459770116,0.64,0.36
global_simplex,0.21769418321142459,0.5440613026819924,0.43596918001306817,3.936259143155695,0.21769418321142459,0.65,0.35
global_simplex,0.21769418321142459,0.542319749216301,0.4355343822167238,3.9435736677115987,0.21769418321142459,0.66,0.34
global_simplex,0.21804249390456287,0.5416231278300244,0.4344132530652917,3.964123998606757,0.21804249390456287,0.67,0.33
global_simplex,0.21804249390456287,0.5395332636711947,0.4341782941312731,3.968303726924417,0.21804249390456287,0.68,0.32
global_simplex,0.21769418321142459,0.5374433995123651,0.4334513816227514,3.9791013584117034,0.21769418321142459,0.69,0.31
global_simplex,0.21525600835945663,0.5346569139672588,0.4315512953705228,3.991292232671543,0.21525600835945663,0.7,0.3
global_simplex,0.21490769766631834,0.5322187391152908,0.4310287626379586,4.0,0.21490769766631834,0.71,0.29
global_simplex,0.21246952281435041,0.5315221177290143,0.4295878886004284,4.009056078021596,0.21246952281435041,0.72,0.28
global_simplex,0.21212121212121213,0.5318704284221526,0.4289326496484287,4.019157088122605,0.21212121212121213,0.73,0.27
global_simplex,0.21142459073493555,0.5301288749564612,0.42821431925402736,4.025426680599095,0.21142459073493555,0.74,0.26
global_simplex,0.2089864158829676,0.5283873214907697,0.4261210121972931,4.04249390456287,0.2089864158829676,0.75,0.25
global_simplex,0.2075931731104145,0.5276907001044933,0.4252571715215401,4.0501567398119125,0.2075931731104145,0.76,0.24
global_simplex,0.2058516196447231,0.524904214559387,0.4237196199056184,4.06478578892372,0.2058516196447231,0.77,0.23
global_simplex,0.20480668756530826,0.5242075931731104,0.42263694160245957,4.075583420411006,0.20480668756530826,0.78,0.22
global_simplex,0.20445837687216997,0.5231626610936956,0.42185459959754706,4.086729362591432,0.20445837687216997,0.79,0.21
global_simplex,0.20445837687216997,0.5214211076280042,0.42143746477602356,4.097526994078718,0.20445837687216997,0.8,0.2
