field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,23,0.2608695652173913,0.6086956521739131,0.496583850931677,2.8260869565217392,0.18115942028985507,0.5434782608695652
7-9,365,0.13424657534246576,0.3835616438356164,0.3506415904804301,4.484931506849315,0.11903131115459882,0.3570939334637965
10-12,886,0.08916478555304741,0.30699774266365687,0.2915207100030159,5.6258465011286685,0.09109891237430741,0.2732967371229222
13-16,434,0.09216589861751152,0.2764976958525346,0.2759556576464679,6.528801843317972,0.07184941594503806,0.2155482478351142
17+,16,0.0625,0.3125,0.26863839285714286,7.25,0.056781045751633986,0.17034313725490197
