model,member,importance_type,feature,value
winner_backing,1,gain,recent_last600_avg_3,7.934500694274902
winner_backing,1,gain,draw_number,6.589418411254883
winner_backing,1,gain,recent_wins,6.739920139312744
winner_backing,1,gain,recent_same_distance_runs,6.661746978759766
winner_backing,1,gain,recent_6_barrier,6.108628749847412
winner_backing,1,gain,distance_m,7.444695949554443
winner_backing,1,gain,historical_run_quality_slope_3,7.4978718757629395
winner_backing,1,gain,market_open_to_fluc2_move_pct,10.652704238891602
winner_backing,1,gain,weight_kg,6.776844024658203
winner_backing,1,gain,age,7.025696754455566
winner_backing,1,cover,recent_last600_avg_3,3048.26123046875
winner_backing,1,cover,draw_number,2685.265625
winner_backing,1,cover,recent_wins,4171.1865234375
winner_backing,1,cover,recent_same_distance_runs,2091.7861328125
winner_backing,1,cover,recent_6_barrier,2191.51123046875
winner_backing,1,cover,distance_m,1505.4739990234375
winner_backing,1,cover,historical_run_quality_slope_3,2289.907470703125
winner_backing,1,cover,market_open_to_fluc2_move_pct,3494.89990234375
winner_backing,1,cover,weight_kg,2712.713623046875
winner_backing,1,cover,age,2372.07666015625
winner_backing,1,weight,recent_last600_avg_3,126.0
winner_backing,1,weight,draw_number,61.0
winner_backing,1,weight,recent_wins,40.0
winner_backing,1,weight,recent_same_distance_runs,67.0
winner_backing,1,weight,recent_6_barrier,100.0
winner_backing,1,weight,distance_m,53.0
winner_backing,1,weight,historical_run_quality_slope_3,125.0
winner_backing,1,weight,market_open_to_fluc2_move_pct,153.0
winner_backing,1,weight,weight_kg,81.0
winner_backing,1,weight,age,40.0
winner_backing,1,total_gain,recent_last600_avg_3,999.7470703125
winner_backing,1,total_gain,draw_number,401.95452880859375
winner_backing,1,total_gain,recent_wins,269.5968017578125
winner_backing,1,total_gain,recent_same_distance_runs,446.3370361328125
winner_backing,1,total_gain,recent_6_barrier,610.8628540039062
winner_backing,1,total_gain,distance_m,394.5688781738281
winner_backing,1,total_gain,historical_run_quality_slope_3,937.2340087890625
winner_backing,1,total_gain,market_open_to_fluc2_move_pct,1629.86376953125
winner_backing,1,total_gain,weight_kg,548.9243774414062
winner_backing,1,total_gain,age,281.0278625488281
winner_backing,2,gain,recent_last600_avg_3,7.741060256958008
winner_backing,2,gain,draw_number,6.5487470626831055
winner_backing,2,gain,recent_wins,5.467411041259766
winner_backing,2,gain,recent_same_distance_runs,7.543725490570068
winner_backing,2,gain,recent_6_barrier,7.073544025421143
winner_backing,2,gain,distance_m,6.0981221199035645
winner_backing,2,gain,historical_run_quality_slope_3,8.203777313232422
winner_backing,2,gain,market_open_to_fluc2_move_pct,9.734190940856934
winner_backing,2,gain,weight_kg,7.438272953033447
winner_backing,2,gain,age,6.785910606384277
winner_backing,2,cover,recent_last600_avg_3,2442.46142578125
winner_backing,2,cover,draw_number,2675.266357421875
winner_backing,2,cover,recent_wins,4480.5771484375
winner_backing,2,cover,recent_same_distance_runs,2069.084228515625
winner_backing,2,cover,recent_6_barrier,3340.796875
winner_backing,2,cover,distance_m,1189.7357177734375
winner_backing,2,cover,historical_run_quality_slope_3,2103.34619140625
winner_backing,2,cover,market_open_to_fluc2_move_pct,3842.360595703125
winner_backing,2,cover,weight_kg,2643.501708984375
winner_backing,2,cover,age,2525.359130859375
winner_backing,2,weight,recent_last600_avg_3,133.0
winner_backing,2,weight,draw_number,73.0
winner_backing,2,weight,recent_wins,40.0
