field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,762,0.3937007874015748,0.7952755905511811,0.6157699037620297,2.274278215223097,0.1827646544181977,0.5482939632545932
7-9,3321,0.3498946100572117,0.7142426979825354,0.5645853945311939,2.7347184582956943,0.12421256267236393,0.3726376880170918
10-12,3577,0.29242381884260554,0.6323734973441432,0.5039070665922777,3.4050880626223092,0.09223066561618422,0.2766919968485526
13-16,1119,0.257372654155496,0.5638963360142984,0.46145402854518136,4.098302055406613,0.07235843914798339,0.21707531744395017
17+,27,0.1111111111111111,0.37037037037037035,0.3173721340388007,5.518518518518518,0.05692326313241346,0.17076978939724036
