field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,740,0.3972972972972973,0.8108108108108109,0.620990990990991,2.231081081081081,0.1831081081081081,0.5493243243243243
7-9,3181,0.36183590066016974,0.7224143351147438,0.5750461569936578,2.656397359320968,0.12425400318358507,0.3727620095507552
10-12,3455,0.3183791606367583,0.6506512301013024,0.5237373319717747,3.2552821997105643,0.09225672060693768,0.27677016182081304
13-16,1087,0.2888684452621895,0.594296228150874,0.48714963994402816,3.860165593376265,0.07232069142142739,0.21696207426428218
17+,27,0.1111111111111111,0.5555555555555556,0.3519988242210464,5.296296296296297,0.05692326313241346,0.17076978939724036
