field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,240,0.32083333333333336,0.6583333333333333,0.5443951418951419,2.7270833333333333,0.18541666666666667,0.55625
7-9,1028,0.2188715953307393,0.5817120622568094,0.45931149021244005,3.3565175097276265,0.1246545148539312,0.3739635445617936
10-12,1090,0.22110091743119267,0.4972477064220184,0.43242781835270544,4.0715596330275226,0.09214206283013622,0.2764261884904087
13-16,487,0.13347022587268995,0.3921971252566735,0.3412930751002926,5.38911704312115,0.07159348180908756,0.21478044542726268
17+,26,0.07692307692307693,0.23076923076923078,0.2544425429007809,6.8076923076923075,0.05697586726998492,0.17092760180995475
