field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.2727272727272727,0.7272727272727273,0.5227430145611963,2.6818181818181817,0.17848484848484847,0.5354545454545454
7-9,637,0.16169544740973313,0.4631083202511774,0.3979823933466929,3.913657770800628,0.12079190650619222,0.3623757195185766
10-12,1278,0.15258215962441316,0.39436619718309857,0.3580027483587602,4.852895148669797,0.09129321382842509,0.27387964148527527
13-16,572,0.12762237762237763,0.3793706293706294,0.3317031912202229,5.5323426573426575,0.07208832833832833,0.21626498501498503
17+,18,0.05555555555555555,0.2222222222222222,0.2133608107292318,9.027777777777779,0.05664488017429194,0.1699346405228758
