field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.38181818181818183,0.6181818181818182,0.5692352092352092,2.672727272727273,0.17848484848484847,0.5354545454545454
7-9,637,0.2653061224489796,0.5714285714285714,0.4798341911625687,3.41287284144427,0.12079190650619222,0.3623757195185766
10-12,1278,0.22535211267605634,0.47417840375586856,0.42797891534264887,4.15962441314554,0.09129321382842509,0.27387964148527527
13-16,572,0.2062937062937063,0.4353146853146853,0.39566420474810227,4.785839160839161,0.07208832833832833,0.21626498501498503
17+,18,0.1111111111111111,0.2777777777777778,0.267048429058233,7.222222222222222,0.05664488017429194,0.1699346405228758
