field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.2727272727272727,0.6909090909090909,0.5351948051948052,2.6363636363636362,0.17848484848484847,0.5354545454545454
7-9,637,0.24489795918367346,0.5635792778649922,0.46171386124059505,3.586342229199372,0.12079190650619222,0.3623757195185766
10-12,1278,0.21205007824726135,0.46557120500782473,0.4095525244679887,4.426838810641628,0.09129321382842509,0.27387964148527527
13-16,572,0.17307692307692307,0.3968531468531469,0.35839977383188193,5.421328671328672,0.07208832833832833,0.21626498501498503
17+,18,0.2222222222222222,0.3333333333333333,0.36517217350550685,5.972222222222222,0.05664488017429194,0.1699346405228758
