field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.2,0.6545454545454545,0.48884953430407974,2.827272727272727,0.17848484848484847,0.5354545454545454
7-9,637,0.23233908948194662,0.543171114599686,0.4589681798588438,3.663265306122449,0.12079190650619222,0.3623757195185766
10-12,1278,0.17762128325508608,0.4475743348982786,0.39731010227801605,4.445226917057903,0.09129321382842509,0.27387964148527527
13-16,572,0.1346153846153846,0.36538461538461536,0.3418802781454374,5.501748251748252,0.07208832833832833,0.21626498501498503
17+,18,0.0,0.2777777777777778,0.2221082796513831,7.194444444444445,0.05664488017429194,0.1699346405228758
