phase,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,objective_value,a0_weight,a1_weight,c1_weight,c2_weight,c3_weight,b1_weight,b2_weight,b3_weight,b4_weight,b5_weight,b6_weight
global_simplex,0.3385122410546139,0.6745527306967984,0.5454159073950715,3.0756826741996233,0.6745527306967984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
global_simplex,0.3409839924670433,0.6825564971751412,0.5488729845235812,3.0439030131826743,0.6825564971751412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.857
global_simplex,0.3402777777777778,0.6955037664783428,0.551583717861963,2.996939736346516,0.6955037664783428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.714
global_simplex,0.3426318267419962,0.7013888888888888,0.5551068579228853,2.9444444444444446,0.7013888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.571
global_simplex,0.3426318267419962,0.7066854990583804,0.5562029830391375,2.9167843691148776,0.7066854990583804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.429
global_simplex,0.3415725047080979,0.708921845574388,0.556166184366215,2.9138418079096047,0.708921845574388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.286
global_simplex,0.3401600753295669,0.7056261770244822,0.5542954333605773,2.9260828625235407,0.7056261770244822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.143
global_simplex,0.3395715630885122,0.7025659133709982,0.5532796807646699,2.9366760828625234,0.7025659133709982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
global_simplex,0.3391007532956685,0.678319209039548,0.5465575566343542,3.062146892655367,0.678319209039548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.857
global_simplex,0.3409839924670433,0.689030131826742,0.5504384992688279,3.0162429378531073,0.689030131826742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.714
global_simplex,0.3433380414312618,0.6991525423728814,0.5545931358607887,2.9623352165725048,0.6991525423728814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.286,0.571
global_simplex,0.3415725047080979,0.7046845574387948,0.5551439213250624,2.931026365348399,0.7046845574387948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.429,0.428
global_simplex,0.3426318267419962,0.7070386064030132,0.5557240576043506,2.9170197740112993,0.7070386064030132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.571,0.286
global_simplex,0.3398069679849341,0.705743879472693,0.5543573889883876,2.9180790960451977,0.705743879472693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.714,0.143
global_simplex,0.3385122410546139,0.7033898305084746,0.5526526540915632,2.934792843691149,0.7033898305084746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.857,0.0
global_simplex,0.336864406779661,0.6792608286252354,0.5449753570869359,3.0572033898305087,0.6792608286252354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.714
global_simplex,0.3375706214689266,0.6903248587570622,0.5484799708360776,3.0098870056497176,0.6903248587570622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.143,0.571
global_simplex,0.3373352165725047,0.6958568738229756,0.5506358568064065,2.967984934086629,0.6958568738229756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.428
global_simplex,0.3365112994350282,0.6978578154425612,0.5512790009347189,2.9455037664783426,0.6978578154425612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.428,0.286
global_simplex,0.3380414312617702,0.6990348399246704,0.5518596879031173,2.939147834274953,0.6990348399246704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.571,0.143
global_simplex,0.333804143126177,0.6972693032015066,0.5491081482077215,2.953272128060264,0.6972693032015066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.714,0.0
global_simplex,0.327683615819209,0.6864406779661016,0.5424859423049733,3.0112994350282487,0.6864406779661016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.286,0.286
global_simplex,0.3274482109227872,0.6732580037664784,0.5374855868720618,3.096162900188324,0.6732580037664784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.0,0.571
global_simplex,0.32780131826742,0.682909604519774,0.5403945591445578,3.04719868173258,0.682909604519774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.143,0.428
global_simplex,0.3263888888888889,0.6884416195856874,0.5416210866908236,3.0089453860640303,0.6884416195856874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.428,0.143
global_simplex,0.3267419962335217,0.6871468926553672,0.5414789151591738,3.007415254237288,0.6871468926553672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.571,0.0
global_simplex,0.3108521657250471,0.6624293785310734,0.5247030627812753,3.168667608286252,0.6624293785310734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.0,0.429
global_simplex,0.3125,0.6640772128060264,0.5273478515886688,3.131591337099812,0.6640772128060264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.143,0.286
global_simplex,0.3126177024482109,0.664665725047081,0.5281134490836095,3.113229755178908,0.664665725047081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.286,0.143
global_simplex,0.3088512241054614,0.6697269303201506,0.5266831020582765,3.104048964218456,0.6697269303201506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.429,0.0
global_simplex,0.2950800376647834,0.6384180790960452,0.51034280753119,3.268008474576271,0.6384180790960452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,0.286
global_simplex,0.2983757062146893,0.6413606403013182,0.5129757449275453,3.2459981167608287,0.6413606403013182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.143,0.143
global_simplex,0.2969632768361582,0.6443032015065914,0.5133264277376205,3.2261064030131825,0.6443032015065914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.286,0.0
global_simplex,0.2797787193973635,0.6199387947269304,0.4966278415166137,3.3711158192090394,0.6199387947269304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.143
global_simplex,0.2822504708097928,0.6221751412429378,0.49885787062252596,3.3544020715630887,0.6221751412429378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.143,0.0
global_simplex,0.2750706214689266,0.6115819209039548,0.4912263547945053,3.4219632768361583,0.6115819209039548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
