field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,240,0.4083333333333333,0.8166666666666667,0.6274305555555556,2.2125,0.18541666666666667,0.55625
7-9,1028,0.38132295719844356,0.7626459143968871,0.598016259032796,2.4737354085603114,0.1246545148539312,0.3739635445617936
10-12,1090,0.3504587155963303,0.6798165137614679,0.5537025563631068,2.9788990825688075,0.09214206283013622,0.2764261884904087
13-16,487,0.29774127310061604,0.6016427104722792,0.48907058604183856,3.913757700205339,0.07159348180908756,0.21478044542726268
17+,26,0.19230769230769232,0.5384615384615384,0.4150975626937165,5.0,0.05697586726998492,0.17092760180995475
