field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,762,0.3910761154855643,0.8175853018372703,0.6169510061242345,2.236220472440945,0.1827646544181977,0.5482939632545932
7-9,3321,0.352002408912978,0.7205660945498343,0.5686625036444368,2.6826257151460404,0.12421256267236393,0.3726376880170918
10-12,3577,0.32289628180039137,0.6438356164383562,0.5255082576231583,3.2636287391668994,0.09223066561618422,0.2766919968485526
13-16,1119,0.2752457551385165,0.5933869526362824,0.4781063316586105,3.9151027703306522,0.07235843914798339,0.21707531744395017
17+,27,0.14814814814814814,0.5555555555555556,0.3750908556464112,5.222222222222222,0.05692326313241346,0.17076978939724036
