field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.2909090909090909,0.7454545454545455,0.5481975600157418,2.518181818181818,0.17848484848484847,0.5354545454545454
7-9,637,0.2401883830455259,0.554160125588697,0.4596921027177745,3.63265306122449,0.12079190650619222,0.3623757195185766
10-12,1278,0.20031298904538342,0.45305164319248825,0.40700642822314836,4.445618153364633,0.09129321382842509,0.27387964148527527
13-16,572,0.17832167832167833,0.41083916083916083,0.37061914335555973,5.228146853146853,0.07208832833832833,0.21626498501498503
17+,18,0.05555555555555555,0.16666666666666666,0.20469596670577062,7.638888888888889,0.05664488017429194,0.1699346405228758
