model,member,importance_type,feature,value
a0,1,gain,recent_finish_percentile_slope_6,9.175071716308594
a0,1,gain,recent_finish_percentile_last_minus_avg3,4.271842956542969
a0,1,gain,recent_finish_percentile_avg3_minus_avg6,7.101805210113525
a0,1,gain,recent_margin_avg_6,19.766754150390625
a0,1,gain,recent_margin_best_3,16.69359588623047
a0,1,gain,recent_margin_quality_slope_3,26.572723388671875
a0,1,gain,historical_market_overperformance_last1,11.047138214111328
a0,1,gain,historical_market_overperformance_best_3,18.091934204101562
a0,1,gain,historical_market_overperformance_slope_3,8.349194526672363
a0,1,gain,historical_implied_probability_weighted_6,6.8827691078186035
a0,1,gain,distance_minus_recent_weighted_avg,20.60767364501953
a0,1,gain,similar_distance_finish_percentile_weighted,9.073005676269531
a0,1,gain,similar_distance_top3_rate,15.625911712646484
a0,1,gain,distance_step_down_pct,18.94793701171875
a0,1,gain,recent_barrier_percentile_avg_3,19.45027732849121
a0,1,gain,recent_barrier_percentile_std_6,13.02457332611084
a0,1,gain,current_barrier_percentile,25.369871139526367
a0,1,gain,current_weight_change_pct,14.406133651733398
a0,1,gain,margin_quality_consistency_6,8.5764799118042
a0,1,gain,recent3_vs_career_place_rate,24.602521896362305
a0,1,gain,same_track_finish_percentile,8.316275596618652
a0,1,gain,same_track_distance_finish_percentile,10.464775085449219
a0,1,gain,same_track_distance_margin_quality,9.815435409545898
a0,1,gain,condition_finish_percentile,14.186223983764648
a0,1,gain,condition_margin_quality,14.991437911987305
a0,1,gain,recent_last600_avg_3,25.537944793701172
a0,1,gain,recent_last600_avg_6,9.300130844116211
a0,1,gain,recent_last600_weighted_3,20.85641860961914
a0,1,gain,recent_last600_weighted_6,17.289226531982422
a0,1,gain,recent_last600_best_3,11.741511344909668
a0,1,gain,recent_last600_slope_3,22.8654842376709
a0,1,gain,recent_last600_slope_6,18.46570587158203
a0,1,gain,historical_run_quality_avg_3,8.749738693237305
a0,1,gain,historical_run_quality_slope_3,4.658355712890625
a0,1,gain,hidden_sectional_run_avg_3,10.436622619628906
a0,1,gain,sectional_ceiling_6,21.290771484375
a0,1,gain,sectional_average_6,13.896570205688477
a0,1,gain,recent_class_avg_3,18.55409049987793
a0,1,gain,recent_class_weighted_6,12.617542266845703
a0,1,gain,class_adjusted_finish_percentile_last1,16.290660858154297
a0,1,gain,class_adjusted_finish_percentile_weighted_3,9.677101135253906
a0,1,gain,jockey_trainer_history_smoothed_top3_rate,5.4145026206970215
a0,1,gain,jockey_trainer_history_win_excess,0.6091690063476562
a0,1,gain,jockey_trainer_synergy,5.891234397888184
a0,1,gain,recent_finish_percentile_weighted_3_minus_race_mean,12.29249382019043
a0,1,gain,recent_finish_percentile_weighted_3_minus_race_median,9.648630142211914
a0,1,gain,recent_finish_percentile_weighted_3_gap_to_best,14.751056671142578
a0,1,gain,recent_finish_percentile_weighted_6_minus_race_mean,8.914966583251953
a0,1,gain,recent_finish_percentile_weighted_6_minus_race_median,6.721005439758301
a0,1,gain,recent_finish_percentile_weighted_6_zscore_in_race,12.083505630493164
a0,1,gain,recent_finish_percentile_weighted_6_gap_to_best,12.735751152038574
a0,1,gain,recent_margin_quality_weighted_3_rank_in_race,29.85003662109375
a0,1,gain,recent_margin_quality_weighted_3_pct_in_race,10.009048461914062
a0,1,gain,recent_margin_quality_weighted_3_minus_race_mean,6.3561248779296875
a0,1,gain,recent_margin_quality_weighted_3_minus_race_median,13.148065567016602
a0,1,gain,recent_margin_quality_weighted_3_zscore_in_race,11.71186637878418
a0,1,gain,historical_market_overperformance_weighted_3_rank_in_race,3.5219497680664062
a0,1,gain,historical_market_overperformance_weighted_3_minus_race_median,8.435208320617676
a0,1,gain,historical_market_overperformance_weighted_3_zscore_in_race,13.363340377807617
a0,1,gain,historical_market_overperformance_weighted_3_gap_to_best,14.47407341003418
a0,1,gain,hidden_sectional_run_best_3_pct_in_race,10.909838676452637
a0,1,gain,hidden_sectional_run_best_3_minus_race_median,23.09244155883789
a0,1,gain,hidden_sectional_run_best_3_gap_to_best,5.00336217880249
a0,1,gain,similar_distance_finish_percentile_weighted_rank_in_race,10.830158233642578
a0,1,gain,similar_distance_finish_percentile_weighted_pct_in_race,10.042747497558594
a0,1,gain,similar_distance_finish_percentile_weighted_minus_race_mean,10.333847045898438
a0,1,gain,similar_distance_finish_percentile_weighted_zscore_in_race,8.300369262695312
a0,1,gain,jockey_trainer_history_smoothed_top3_rate_gap_to_best,5.9231414794921875
a0,1,gain,current_form_strength_pct_in_race,7.749141693115234
a0,1,gain,current_form_strength_minus_race_median,18.206703186035156
a0,1,gain,current_form_strength_zscore_in_race,4.3619537353515625
a0,1,gain,finish_rank_minus_market_rank,18.256820678710938
a0,1,gain,margin_rank_minus_market_rank,19.89563751220703
a0,1,gain,career_rank_minus_market_rank,16.820093154907227
a0,1,gain,career_market_rank_abs_gap,11.5408935546875
a0,1,gain,prize_money_rank_minus_market_rank,1.929412841796875
a0,1,gain,prize_money_market_rank_abs_gap,13.053790092468262
a0,1,gain,total_prize_money,8.851900100708008
a0,1,gain,race_field_max_prize_money,7.919425964355469
a0,1,gain,race_field_avg_speed_rating,2.8321661949157715
a0,1,gain,race_field_max_speed_rating,10.157440185546875
a0,1,gain,weight_vs_field_mean,25.42837905883789
a0,1,gain,preparation_run_number,3.8060405254364014
a0,1,gain,runs_this_preparation_before_race,2.0167694091796875
a0,1,gain,first_up_flag,5.769016265869141
a0,1,cover,active_field_size,1326.637939453125
a0,1,cover,draw_number,152.93084716796875
a0,1,cover,career_wins,952.8544921875
a0,1,cover,weight_change_vs_recent_avg,2122.09912109375
a0,1,cover,weight_change_vs_recent_weighted_avg,2532.9609375
a0,1,cover,large_weight_drop_flag,314.3100280761719
a0,1,cover,win_percentage,1422.5777587890625
a0,1,cover,distance_starts,3272.637939453125
a0,1,cover,recent_2_starting_price,1722.46484375
a0,1,cover,recent_3_starting_price,1118.5645751953125
a0,1,cover,recent_3_total_runners,223.3629608154297
