field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.21818181818181817,0.6727272727272727,0.4986881805063623,2.7454545454545456,0.17848484848484847,0.5354545454545454
7-9,637,0.1726844583987441,0.478806907378336,0.4032281149351054,3.8979591836734695,0.12079190650619222,0.3623757195185766
10-12,1278,0.15336463223787167,0.392018779342723,0.35597293525540874,4.937793427230047,0.09129321382842509,0.27387964148527527
13-16,572,0.10314685314685315,0.28496503496503495,0.2847072889569586,6.138111888111888,0.07208832833832833,0.21626498501498503
17+,18,0.0,0.2777777777777778,0.23341657800722126,6.388888888888889,0.05664488017429194,0.1699346405228758
