field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,762,0.38451443569553806,0.8097112860892388,0.613604549431321,2.258530183727034,0.1827646544181977,0.5482939632545932
7-9,3321,0.3486901535682023,0.7166516109605541,0.5670789062387979,2.700391448358928,0.12421256267236393,0.3726376880170918
10-12,3577,0.31031590718479174,0.6413195415152362,0.5177071949576842,3.3270897400055914,0.09223066561618422,0.2766919968485526
13-16,1119,0.2770330652368186,0.5755138516532619,0.4767126119337916,3.962466487935657,0.07235843914798339,0.21707531744395017
17+,27,0.18518518518518517,0.4444444444444444,0.3792683291049304,6.037037037037037,0.05692326313241346,0.17076978939724036
