field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.2545454545454545,0.7272727272727273,0.5175914994096812,2.727272727272727,0.17848484848484847,0.5354545454545454
7-9,637,0.20094191522762953,0.5117739403453689,0.4276708944291362,3.7857142857142856,0.12079190650619222,0.3623757195185766
10-12,1278,0.162754303599374,0.40375586854460094,0.36546552818850764,4.793035993740219,0.09129321382842509,0.27387964148527527
13-16,572,0.13111888111888112,0.35664335664335667,0.32619766562307295,5.611013986013986,0.07208832833832833,0.21626498501498503
17+,18,0.05555555555555555,0.2777777777777778,0.26932630098668836,7.861111111111111,0.05664488017429194,0.1699346405228758
