field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,240,0.29583333333333334,0.7083333333333334,0.541590909090909,2.620833333333333,0.18541666666666667,0.55625
7-9,1028,0.2587548638132296,0.6128404669260701,0.49028656168733986,3.172178988326848,0.1246545148539312,0.3739635445617936
10-12,1090,0.23486238532110093,0.5495412844036697,0.4518992051128416,3.822935779816514,0.09214206283013622,0.2764261884904087
13-16,487,0.20739219712525667,0.4394250513347023,0.3940781493469794,4.9106776180698155,0.07159348180908756,0.21478044542726268
17+,26,0.15384615384615385,0.34615384615384615,0.34079850571095893,6.115384615384615,0.05697586726998492,0.17092760180995475
