field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.4,0.6181818181818182,0.5788036206218025,2.7545454545454544,0.17848484848484847,0.5354545454545454
7-9,637,0.25117739403453687,0.5400313971742543,0.46448813701560954,3.5384615384615383,0.12079190650619222,0.3623757195185766
10-12,1278,0.2237871674491393,0.4726134585289515,0.4182982575027027,4.350156494522691,0.09129321382842509,0.27387964148527527
13-16,572,0.16433566433566432,0.40034965034965037,0.36203002375715065,5.11013986013986,0.07208832833832833,0.21626498501498503
17+,18,0.0,0.2777777777777778,0.20618671452004786,7.694444444444445,0.05664488017429194,0.1699346405228758
