field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.2,0.6363636363636364,0.4504329004329004,3.0454545454545454,0.17848484848484847,0.5354545454545454
7-9,637,0.14913657770800628,0.434850863422292,0.37815115928284276,4.194662480376766,0.12079190650619222,0.3623757195185766
10-12,1278,0.14006259780907668,0.3364632237871675,0.3318143345247664,5.277777777777778,0.09129321382842509,0.27387964148527527
13-16,572,0.12062937062937062,0.30244755244755245,0.29669757007742825,6.375874125874126,0.07208832833832833,0.21626498501498503
17+,18,0.05555555555555555,0.1111111111111111,0.1905541958646534,8.222222222222221,0.05664488017429194,0.1699346405228758
