field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,762,0.4094488188976378,0.8136482939632546,0.6232720909886265,2.2493438320209975,0.1827646544181977,0.5482939632545932
7-9,3321,0.359229147847034,0.7193616380608251,0.5742461392867897,2.66064438422162,0.12421256267236393,0.3726376880170918
10-12,3577,0.3173050041934582,0.6488677662845961,0.5234238325585823,3.259155717081353,0.09223066561618422,0.2766919968485526
13-16,1119,0.28328865058087577,0.5915996425379804,0.4821071144127444,3.8936550491510276,0.07235843914798339,0.21707531744395017
17+,27,0.14814814814814814,0.5185185185185185,0.36771058159947045,5.148148148148148,0.05692326313241346,0.17076978939724036
