field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,762,0.37926509186351703,0.8070866141732284,0.6088145231846019,2.2716535433070866,0.1827646544181977,0.5482939632545932
7-9,3321,0.3381511592893707,0.708521529659741,0.5581429861917667,2.7684432399879553,0.12421256267236393,0.3726376880170918
10-12,3577,0.30332681017612523,0.6334917528655297,0.5119842742291721,3.37405647190383,0.09223066561618422,0.2766919968485526
13-16,1119,0.2779267202859696,0.5719392314566577,0.4723349855387389,4.0491510277033065,0.07235843914798339,0.21707531744395017
17+,27,0.2222222222222222,0.5185185185185185,0.41072939406272735,5.333333333333333,0.05692326313241346,0.17076978939724036
