field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,762,0.38451443569553806,0.8097112860892388,0.6103893263342083,2.2808398950131235,0.1827646544181977,0.5482939632545932
7-9,3321,0.3498946100572117,0.7163504968383018,0.5646415547047886,2.725685034628124,0.12421256267236393,0.3726376880170918
10-12,3577,0.31674587643276486,0.6443947441990495,0.5209033100282751,3.325412356723511,0.09223066561618422,0.2766919968485526
13-16,1119,0.2797140303842717,0.5871313672922251,0.4786435203660405,3.9562109025915997,0.07235843914798339,0.21707531744395017
17+,27,0.18518518518518517,0.48148148148148145,0.3833199722088611,5.592592592592593,0.05692326313241346,0.17076978939724036
