field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.36363636363636365,0.7636363636363637,0.5862481962481962,2.4,0.17848484848484847,0.5354545454545454
7-9,637,0.282574568288854,0.5620094191522763,0.4836904722697501,3.455259026687598,0.12079190650619222,0.3623757195185766
10-12,1278,0.23943661971830985,0.47965571205007823,0.43443943080874575,4.17566510172144,0.09129321382842509,0.27387964148527527
13-16,572,0.18006993006993008,0.43356643356643354,0.37881338447077856,4.825174825174825,0.07208832833832833,0.21626498501498503
17+,18,0.16666666666666666,0.4444444444444444,0.3509652384652384,5.611111111111111,0.05664488017429194,0.1699346405228758
