field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,55,0.34545454545454546,0.7454545454545455,0.5785858585858586,2.4545454545454546,0.17848484848484847,0.5354545454545454
7-9,637,0.260596546310832,0.543171114599686,0.47566780240619005,3.4481946624803768,0.12079190650619222,0.3623757195185766
10-12,1278,0.23161189358372458,0.4788732394366197,0.43184509967789175,4.170970266040689,0.09129321382842509,0.27387964148527527
13-16,572,0.18006993006993008,0.4370629370629371,0.3800209604271019,4.844405594405594,0.07208832833832833,0.21626498501498503
17+,18,0.1111111111111111,0.3888888888888889,0.306782170575274,6.861111111111111,0.05664488017429194,0.1699346405228758
