field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,762,0.38976377952755903,0.8110236220472441,0.6167322834645669,2.2532808398950133,0.1827646544181977,0.5482939632545932
7-9,3321,0.3523035230352303,0.7148449262270401,0.5679814121774375,2.7058115025594702,0.12421256267236393,0.3726376880170918
10-12,3577,0.3105954710651384,0.6429969247973162,0.518185751439875,3.3273693038859378,0.09223066561618422,0.2766919968485526
13-16,1119,0.2770330652368186,0.5710455764075067,0.476724292240378,3.967828418230563,0.07235843914798339,0.21707531744395017
17+,27,0.18518518518518517,0.5185185185185185,0.39304085831863605,5.888888888888889,0.05692326313241346,0.17076978939724036
