field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,762,0.4041994750656168,0.8057742782152231,0.620997375328084,2.2467191601049867,0.1827646544181977,0.5482939632545932
7-9,3321,0.349292381812707,0.715748268593797,0.5659058755490554,2.710027100271003,0.12421256267236393,0.3726376880170918
10-12,3577,0.31478892927033825,0.6508247134470226,0.5224020830534669,3.2982946603298853,0.09223066561618422,0.2766919968485526
13-16,1119,0.2716711349419124,0.5924932975871313,0.4745015460162913,3.9901697944593386,0.07235843914798339,0.21707531744395017
17+,27,0.1111111111111111,0.48148148148148145,0.3499926513815403,5.555555555555555,0.05692326313241346,0.17076978939724036
