field_size_bucket,races,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,random_top1_expected,random_top3_expected
1-6,23,0.13043478260869565,0.4782608695652174,0.38488612836438924,3.4782608695652173,0.18115942028985507,0.5434782608695652
7-9,365,0.1095890410958904,0.3287671232876712,0.32760039092432325,4.620547945205479,0.11903131115459882,0.3570939334637965
10-12,886,0.10045146726862303,0.2866817155756208,0.29342047488737205,5.742663656884876,0.09109891237430741,0.2732967371229222
13-16,434,0.1152073732718894,0.2834101382488479,0.2845593711225827,6.595622119815668,0.07184941594503806,0.2155482478351142
17+,16,0.0625,0.25,0.2409767316017316,7.3125,0.056781045751633986,0.17034313725490197
