model,member,importance_type,feature,value
winner_backing,1,gain,draw_number,5.149477958679199
winner_backing,1,gain,recent_same_distance_runs,5.250494480133057
winner_backing,1,gain,recent_6_barrier,5.524980545043945
winner_backing,1,gain,recent_wins,5.368016242980957
winner_backing,1,gain,distance_m,5.340137958526611
winner_backing,1,gain,historical_step_up_observations,5.108562469482422
winner_backing,1,gain,recent_last600_avg_3,5.736856460571289
winner_backing,1,gain,historical_step_down_observations,5.413422107696533
winner_backing,1,gain,historical_run_quality_slope_3,5.809305191040039
winner_backing,1,gain,age,5.817805290222168
winner_backing,1,cover,draw_number,2298.097900390625
winner_backing,1,cover,recent_same_distance_runs,2343.8671875
winner_backing,1,cover,recent_6_barrier,2686.90380859375
winner_backing,1,cover,recent_wins,4405.54833984375
winner_backing,1,cover,distance_m,1802.68603515625
winner_backing,1,cover,historical_step_up_observations,2100.94775390625
winner_backing,1,cover,recent_last600_avg_3,2921.56494140625
winner_backing,1,cover,historical_step_down_observations,2135.783447265625
winner_backing,1,cover,historical_run_quality_slope_3,2916.71435546875
winner_backing,1,cover,age,2347.7314453125
winner_backing,1,weight,draw_number,210.0
winner_backing,1,weight,recent_same_distance_runs,143.0
winner_backing,1,weight,recent_6_barrier,261.0
winner_backing,1,weight,recent_wins,118.0
winner_backing,1,weight,distance_m,244.0
winner_backing,1,weight,historical_step_up_observations,98.0
winner_backing,1,weight,recent_last600_avg_3,453.0
winner_backing,1,weight,historical_step_down_observations,103.0
winner_backing,1,weight,historical_run_quality_slope_3,435.0
winner_backing,1,weight,age,124.0
winner_backing,1,total_gain,draw_number,1081.390380859375
winner_backing,1,total_gain,recent_same_distance_runs,750.8207397460938
winner_backing,1,total_gain,recent_6_barrier,1442.0198974609375
winner_backing,1,total_gain,recent_wins,633.4259033203125
winner_backing,1,total_gain,distance_m,1302.99365234375
winner_backing,1,total_gain,historical_step_up_observations,500.6391296386719
winner_backing,1,total_gain,recent_last600_avg_3,2598.7958984375
winner_backing,1,total_gain,historical_step_down_observations,557.5824584960938
winner_backing,1,total_gain,historical_run_quality_slope_3,2527.0478515625
winner_backing,1,total_gain,age,721.4078369140625
winner_backing,2,gain,draw_number,5.730154991149902
winner_backing,2,gain,recent_same_distance_runs,5.712911128997803
winner_backing,2,gain,recent_6_barrier,5.277262210845947
winner_backing,2,gain,recent_wins,5.222126483917236
winner_backing,2,gain,distance_m,6.3270087242126465
winner_backing,2,gain,historical_step_up_observations,6.484203338623047
winner_backing,2,gain,recent_last600_avg_3,6.9888763427734375
winner_backing,2,gain,historical_step_down_observations,5.747635364532471
winner_backing,2,gain,historical_run_quality_slope_3,7.235339641571045
winner_backing,2,gain,age,5.302766799926758
winner_backing,2,cover,draw_number,2373.309814453125
winner_backing,2,cover,recent_same_distance_runs,2326.33056640625
winner_backing,2,cover,recent_6_barrier,2626.047119140625
winner_backing,2,cover,recent_wins,4394.41015625
winner_backing,2,cover,distance_m,1429.72802734375
winner_backing,2,cover,historical_step_up_observations,2687.5537109375
winner_backing,2,cover,recent_last600_avg_3,2801.019287109375
winner_backing,2,cover,historical_step_down_observations,3087.315673828125
winner_backing,2,cover,historical_run_quality_slope_3,3067.55615234375
winner_backing,2,cover,age,2593.49853515625
winner_backing,2,weight,draw_number,100.0
winner_backing,2,weight,recent_same_distance_runs,80.0
winner_backing,2,weight,recent_6_barrier,144.0
winner_backing,2,weight,recent_wins,61.0
winner_backing,2,weight,distance_m,93.0
winner_backing,2,weight,historical_step_up_observations,34.0
winner_backing,2,weight,recent_last600_avg_3,166.0
winner_backing,2,weight,historical_step_down_observations,49.0
winner_backing,2,weight,historical_run_quality_slope_3,187.0
winner_backing,2,weight,age,68.0
winner_backing,2,total_gain,draw_number,573.0155029296875
winner_backing,2,total_gain,recent_same_distance_runs,457.03289794921875
winner_backing,2,total_gain,recent_6_barrier,759.92578125
winner_backing,2,total_gain,recent_wins,318.5497131347656
winner_backing,2,total_gain,distance_m,588.4118041992188
winner_backing,2,total_gain,historical_step_up_observations,220.46290588378906
winner_backing,2,total_gain,recent_last600_avg_3,1160.1534423828125
winner_backing,2,total_gain,historical_step_down_observations,281.6341247558594
winner_backing,2,total_gain,historical_run_quality_slope_3,1353.008544921875
winner_backing,2,total_gain,age,360.588134765625
winner_backing,3,gain,draw_number,1.753447413444519
winner_backing,3,gain,recent_same_distance_runs,7.970648765563965
winner_backing,3,gain,recent_6_barrier,9.696979522705078
winner_backing,3,gain,recent_wins,9.287442207336426
winner_backing,3,gain,distance_m,1.625015139579773
winner_backing,3,gain,historical_step_up_observations,12.77812671661377
winner_backing,3,gain,recent_last600_avg_3,9.174554824829102
winner_backing,3,gain,historical_step_down_observations,18.475032806396484
winner_backing,3,gain,historical_run_quality_slope_3,11.62601089477539
winner_backing,3,gain,age,15.53061294555664
winner_backing,3,cover,draw_number,561.994140625
winner_backing,3,cover,recent_same_distance_runs,4344.69970703125
winner_backing,3,cover,recent_6_barrier,2488.6923828125
winner_backing,3,cover,recent_wins,4560.13916015625
winner_backing,3,cover,distance_m,213.80711364746094
winner_backing,3,cover,historical_step_up_observations,6487.64697265625
winner_backing,3,cover,recent_last600_avg_3,1436.2540283203125
winner_backing,3,cover,historical_step_down_observations,1338.765869140625
winner_backing,3,cover,historical_run_quality_slope_3,3112.717529296875
winner_backing,3,cover,age,2930.52978515625
winner_backing,3,weight,draw_number,3.0
winner_backing,3,weight,recent_same_distance_runs,4.0
winner_backing,3,weight,recent_6_barrier,9.0
winner_backing,3,weight,recent_wins,9.0
winner_backing,3,weight,distance_m,2.0
winner_backing,3,weight,historical_step_up_observations,3.0
winner_backing,3,weight,recent_last600_avg_3,40.0
winner_backing,3,weight,historical_step_down_observations,2.0
winner_backing,3,weight,historical_run_quality_slope_3,17.0
winner_backing,3,weight,age,9.0
winner_backing,3,total_gain,draw_number,5.260342121124268
winner_backing,3,total_gain,recent_same_distance_runs,31.88259506225586
winner_backing,3,total_gain,recent_6_barrier,87.27281188964844
winner_backing,3,total_gain,recent_wins,83.58698272705078
winner_backing,3,total_gain,distance_m,3.250030279159546
winner_backing,3,total_gain,historical_step_up_observations,38.334381103515625
winner_backing,3,total_gain,recent_last600_avg_3,366.9822082519531
winner_backing,3,total_gain,historical_step_down_observations,36.95006561279297
winner_backing,3,total_gain,historical_run_quality_slope_3,197.64218139648438
winner_backing,3,total_gain,age,139.7755126953125
